PropertyType,PropertyGroup,Property,Description
FieldMeasurement,OBSERVATIONS,O_SHEET_STATE,Sheet erosion state p135
FieldMeasurement,OBSERVATIONS,O_SHEET_DEG,Sheet erosion degree p135
FieldMeasurement,OBSERVATIONS,O_WAVE_STATE,Wave erosion state p137
FieldMeasurement,OBSERVATIONS,O_WAVE_DEG,Wave erosion degree p137
FieldMeasurement,OBSERVATIONS,O_RILL_STATE,Rill erosion state p136
FieldMeasurement,OBSERVATIONS,O_RILL_DEG,Rill erosion degree p136
FieldMeasurement,OBSERVATIONS,O_MASS_STATE,Mass movement erosion state
FieldMeasurement,OBSERVATIONS,O_MASS_DEG,Mass movement erosion degree
FieldMeasurement,OBSERVATIONS,O_GULLY_STATE,Gully erosion state p137
FieldMeasurement,OBSERVATIONS,O_GULLY_DEG,Gully erosion degree p137
FieldMeasurement,OBSERVATIONS,O_STBANK_STATE,Stream bank erosion state
FieldMeasurement,OBSERVATIONS,O_STBANK_DEG,Stream bank erosion degree
FieldMeasurement,OBSERVATIONS,O_TUNNEL_STATE,Tunnel erosion state p137
FieldMeasurement,OBSERVATIONS,O_TUNNEL_DEG,Tunnel erosion degree
FieldMeasurement,OBSERVATIONS,O_OTHER_ER_STATE,Other erosion state  p134
FieldMeasurement,OBSERVATIONS,O_OTHER_ER_DEG,Other erosion degree  p134
FieldMeasurement,OBSERVATIONS,O_OTHER_ER_TYPE,Other erosion type  free text
FieldMeasurement,OBSERVATIONS,O_GULLY_DEPTH,Gully depth p137
FieldMeasurement,OBSERVATIONS,O_AGGRADATION,Aggradation p138
FieldMeasurement,OBSERVATIONS,O_INUND_FREQ,Inundation frequency p138
FieldMeasurement,OBSERVATIONS,O_INUND_DUR,Inundation duration (annual)
FieldMeasurement,OBSERVATIONS,O_INUND_DEPTH,Inundation depth (annual)
FieldMeasurement,OBSERVATIONS,O_INUND_RUNON_VEL,Inundation runon velocity
FieldMeasurement,OBSERVATIONS,O_DEPTH_WATER_PREF,Depth to free water prefix:
FieldMeasurement,OBSERVATIONS,O_DEPTH_RHORIZON_PF,Depth to R horizon prefix
FieldMeasurement,OBSERVATIONS,O_RUNOFF,Runoff p144
FieldMeasurement,OBSERVATIONS,O_PERMEABILITY,Permeability p200
FieldMeasurement,OBSERVATIONS,O_SB_OBS_TYPE,Substrate type of observation
FieldMeasurement,OBSERVATIONS,O_SB_CONFIDENCE,Substrate confidence p206
FieldMeasurement,OBSERVATIONS,O_SB_DEPTH_PF,Substrate depth prefix
FieldMeasurement,OBSERVATIONS,O_SB_GRAIN_SIZE,Substrate grain size p206
FieldMeasurement,OBSERVATIONS,O_SB_TEXTURE,Substrate texture p207
FieldMeasurement,OBSERVATIONS,O_SB_STRUCTURE,Substrate structure p207
FieldMeasurement,OBSERVATIONS,O_SB_POROSITY,Substrate porosity p208
FieldMeasurement,OBSERVATIONS,O_SB_STRENGTH,Substrate strength p209
FieldMeasurement,OBSERVATIONS,O_SB_LITH,Substrate lithology p209
FieldMeasurement,OBSERVATIONS,O_SB_MASS_SPAC_DIS,Substrate mass spacing of discontinuities
FieldMeasurement,OBSERVATIONS,O_SB_MASS_ALT,Substrate mass alteration
FieldMeasurement,OBSERVATIONS,O_SB_MASS_STRENGTH,Substrate mass strength
FieldMeasurement,OBSERVATIONS,O_SB_MASS_GEN_TYPE,Substrate mass genetic type
FieldMeasurement,OBSERVATIONS,O_SUBSTRATE_NOTES,Free text substrate notes
FieldMeasurement,OBSERVATIONS,O_PPF,Principal profile form
FieldMeasurement,OBSERVATIONS,O_GSG,Great soil group
FieldMeasurement,OBSERVATIONS,O_ASC_TECH_REF,Aust soil classification technical reference
FieldMeasurement,OBSERVATIONS,O_ASC_CONF,Aust soil classification confidence
FieldMeasurement,OBSERVATIONS,O_ASC_ORD,Aust soil classification order
FieldMeasurement,OBSERVATIONS,O_ASC_SUBORD,Aust soil classification suborder
FieldMeasurement,OBSERVATIONS,O_ASC_GG,Aust soil classification great soil group
FieldMeasurement,OBSERVATIONS,O_ASC_SUBG,Aust soil classification subgroup
FieldMeasurement,OBSERVATIONS,O_ASC_FAM1,Aust soil classification family 1 - likely to be horizon thickness
FieldMeasurement,OBSERVATIONS,O_ASC_FAM2,Aust soil classification family 2 -  likely to be gravel content
FieldMeasurement,OBSERVATIONS,O_ASC_FAM3,Aust soil classification family -  likely to be A1 texture
FieldMeasurement,OBSERVATIONS,O_ASC_FAM4,Aust soil classification family - likely to be B texture
FieldMeasurement,OBSERVATIONS,O_ASC_FAM5,Aust soil classification family - likely to be soil depth
FieldMeasurement,OBSERVATIONS,O_ASC_NOTES,Aust soil classification
FieldMeasurement,OBSERVATIONS,O_UNI_SOIL_CLASS,Unified soil classification
FieldMeasurement,OBSERVATIONS,O_SOIL_TAXONOMY,Soil taxonomy p226
FieldMeasurement,OBSERVATIONS,O_TAX_UNIT_TYPE,Taxonomic unit type
FieldMeasurement,OBSERVATIONS,O_TAX_UNIT_NAME,Taxonomic unit name  free
FieldMeasurement,OBSERVATIONS,O_MAP_UNIT_TYPE,Mapping unit type
FieldMeasurement,OBSERVATIONS,O_MAP_UNIT_NAME,Map unit name  free text
FieldMeasurement,OBSERVATIONS,O_NOTES,Free text notes
FieldMeasurement,OBS_MNG_PRACS,OMP_DATE,Date mngt practice observed ddmmyyyy
FieldMeasurement,OBS_MNG_PRACS,OMP_REF,Management practice reference e.g. LUMIS Version 1
FieldMeasurement,OBS_MNG_PRACS,OMP_COVER,Observation mngt practice type  e.g. liming  fertiliser
FieldMeasurement,OFFICERS,AGENCY_CODE,Agency identifier
FieldMeasurement,OFFICERS,OFFR_CODE,Officer code p13. Code is unique within each state
FieldMeasurement,OFFICERS,OFFR_NAME,Officer name
FieldMeasurement,PANS,PAN_CEMENTATION,Pan cementation p192
FieldMeasurement,PANS,PAN_TYPE,Type of pan p192
FieldMeasurement,PANS,PAN_CONTINUITY,Continuity of pan p195
FieldMeasurement,PANS,PAN_STRUCTURE,Structure of pan p195
FieldMeasurement,PATT_GEOMORPHS,PGM_MODE,Pattern  mode of geomorphological  activity p52
FieldMeasurement,PATT_GEOMORPHS,PGM_AGENT,Pattern geomorphological agent p52
FieldMeasurement,PATT_GEOMORPHS,PGM_STAT,Pattern status of geomorphological activity p54
FieldMeasurement,PHS,PH_METHOD,Field pH method
FieldMeasurement,PHS,PH_DEPTH,Depth at which pH recorded (m) p198
FieldMeasurement,PHS,PH_VALUE,Field pH value p198
FieldMeasurement,PORES,PORE_ABUN,Abundance of macropores p184
FieldMeasurement,PORES,PORE_DIAMETER,Diameter of macropores p185
FieldMeasurement,PROJECTS,AGENCY_CODE,Agency identifier
FieldMeasurement,PROJECTS,PROJ_CODE,Project identifier (unique within each agency)
FieldMeasurement,PROJECTS,PROJ_NAME,Name of project
FieldMeasurement,PROJECTS,PROJ_MANAGER_CODE,Officer code p13
FieldMeasurement,PROJECTS,PROJ_BIBLIO_REF,Bibliographic reference
FieldMeasurement,PROJECTS,PROJ_START_DATE,Date of commencement of project ddmmyyyy
FieldMeasurement,PROJECTS,PROJ_FINISH_DATE,Date of completion of project ddmmyyyy
FieldMeasurement,ROCK_OUTCROPS,RO_ABUN,Rock outcrop abundance p143
FieldMeasurement,ROCK_OUTCROPS,RO_LITH,Rock outcrop lithology p214
FieldMeasurement,ROOTS,AGENCY_CODE,Agency identifier
FieldMeasurement,ROOTS,PROJ_CODE,Project identifier
FieldMeasurement,ROOTS,ROOT_ABUN,Root abundance (per 0.01 m2) p199
FieldMeasurement,ROOTS,ROOT_SIZE,Root size (diameter) p199
FieldMeasurement,SAMPLES,SAMP_SIZE,Size of final sample
FieldMeasurement,SAMPLES,SAMP_NOTES,Free text notes
FieldMeasurement,SEGREGATIONS,AGENCY_CODE,Agency identifier
FieldMeasurement,SEGREGATIONS,PROJ_CODE,Project identifier
FieldMeasurement,SEGREGATIONS,SEG_ABUN,Segregation abundance p196
FieldMeasurement,SEGREGATIONS,SEG_NATURE,Segregation nature p196
FieldMeasurement,SEGREGATIONS,SEG_FORM,Segregation form p196
FieldMeasurement,SEGREGATIONS,SEG_SIZE,Segregation size p197
FieldMeasurement,SEGREGATIONS,SEG_STRENGTH,Segregation strength p197
FieldMeasurement,SEGREGATIONS,SEG_MAGNETIC_ATTR,Segregation magnetic attributes
FieldMeasurement,SITES,S_ID,Site identifier
FieldMeasurement,SITES,S_ORIG_TECH_REF,Technical reference used
FieldMeasurement,SITES,S_MAP_SCALE,Map scale p9
FieldMeasurement,SITES,S_MAP_SHEET_NO,Map sheet number
FieldMeasurement,SITES,S_MAP_REF_TYPE,Map reference type p8
FieldMeasurement,SITES,S_PHOTO_FILM_NO,Air photo film number p10
FieldMeasurement,SITES,S_PHOTO_RUN_NO,Air photo run number p10
FieldMeasurement,SITES,S_DESC_BY,Officer code p13
FieldMeasurement,SITES,S_DATE_DESC,Date site described p13 ddmmyyyy
FieldMeasurement,SITES,S_TYPE,Type of site p13
FieldMeasurement,SITES,S_SLOPE_PF,Slope prefix
FieldMeasurement,SITES,S_SLOPE_EVAL,Slope  means of evaluation p18
FieldMeasurement,SITES,S_SLOPE_CLASS,Slope class  p18
FieldMeasurement,SITES,S_MORPH_TYPE,Slope morphological type p19
FieldMeasurement,SITES,S_ELEM_INC_SLOPE,Relative inclination of slope elements
FieldMeasurement,SITES,S_ELEM_LOCATION,Location within landform element
FieldMeasurement,SITES,S_ELEM_TYPE,Element type p31
FieldMeasurement,SITES,S_MODAL_SLOPE,Modal slope p45
FieldMeasurement,SITES,S_RELIEF_CLASS,Relief class p48
FieldMeasurement,SITES,S_REL_MS_CLASS,Relief/modal slope class p47
FieldMeasurement,SITES,S_STRM_CH_SPACING,Stream channel spacing p48
FieldMeasurement,SITES,S_STRM_CH_DEV,Stream channel development p49
FieldMeasurement,SITES,S_STRM_CH_DTOW,Channel depth relative to width
FieldMeasurement,SITES,S_STRM_CH_MIG,Stream channel migration p50
FieldMeasurement,SITES,S_STRM_CH_PATT,Stream-wise channel pattern p50
FieldMeasurement,SITES,S_STRM_CH_NET_INT,Stream channel network
FieldMeasurement,SITES,S_STRM_CH_DIR_NET,Stream channel network directionality p52
FieldMeasurement,SITES,S_PATT_TYPE,Pattern type p55
FieldMeasurement,SITES,S_NOTES,Free text notes
FieldMeasurement,SITES,S_TRANS_AUTHOR,Translation of format author
FieldMeasurement,SITES,REF_AGENCY_CODE,Parent site agency identifier (used for nested sites)
FieldMeasurement,SITES,REF_PROJ_CODE,Parent site project identifier (used for nested sites)
FieldMeasurement,SITES,REF_S_ID,Parent site site identifier (used for nested sites)
FieldMeasurement,SITE_MNG_PRCS,SMP_DATE,Date mngt practice observed
FieldMeasurement,SITE_MNG_PRCS,SMP_REF,Management practice reference e.g. LUMIS Version 1
FieldMeasurement,SITE_MNG_PRCS,SMP_CODE,Site mngt practice type  e.g. liming  fertiliser
FieldMeasurement,STATES,STATE_CODE,State code p7 Note: new codes
FieldMeasurement,STATES,STATE_NAME,State name  p7
FieldMeasurement,STRENGTHS,STRG_CLASS,Strength p187
FieldMeasurement,STRENGTHS,STRG_MOISTURE_STAT,Moisture status p187
FieldMeasurement,STRUCTURES,AGENCY_CODE,Agency identifier
FieldMeasurement,STRUCTURES,PROJ_CODE,Project identifier
FieldMeasurement,STRUCTURES,STR_PED_GRADE,Grade of pedality p171
FieldMeasurement,STRUCTURES,STR_PED_SIZE,Size of peds p172
FieldMeasurement,STRUCTURES,STR_PED_TYPE,Type of pedality p173
FieldMeasurement,STRUCTURES,STR_COMPOUND_PED,Compound pedality p180
FieldMeasurement,STRUCTURES,STR_CLODS_FRAGS,Clods and fragments p181
FieldMeasurement,SUB_MINERAL_COMPS,SB_MINERAL_COMP,Mineral composition p208
FieldMeasurement,SURF_COARSE_FRAGS,SCF_ABUN,Surface coarse fragment abundance
FieldMeasurement,SURF_COARSE_FRAGS,SCF_SIZE,Surface coarse fragment size p140
FieldMeasurement,SURF_COARSE_FRAGS,SCF_SHAPE,Surface coarse fragment shape p142
FieldMeasurement,SURF_COARSE_FRAGS,SCF_LITH,Surface coarse fragment lithology p214
FieldMeasurement,SURF_COARSE_FRAGS,SCF_STRENGTH,Surface coarse fragment strength p209
FieldMeasurement,SURF_CONDITIONS,SCON_STAT,Condition of surface when dry p189
FieldMeasurement,VEG_SPECIES,AGENCY_CODE,Agency identifier
FieldMeasurement,VEG_SPECIES,PROJ_CODE,Project identifier
FieldMeasurement,VEG_SPECIES,VSTR_CODE,Stratum  T=tallest  M=mid  L=lower  U=undescribed
FieldMeasurement,VEG_SPECIES,VSP_SPECIES,Genus and species
FieldMeasurement,VEG_SPECIES,VSP_CODE,Vegetation species
FieldMeasurement,VEG_SPECIES,VSP_ABUN,Vegetation species abundance
FieldMeasurement,VEG_STRATA,VSTR_CODE,Stratum  T=tallest  M=mid  L=lower  U=undescribed  CM=continuum mid
FieldMeasurement,VEG_STRATA,VSTR_GROWTH_FORM,Growth form
FieldMeasurement,VEG_STRATA,VSTR_HEIGHT_CLASS,Height
FieldMeasurement,VEG_STRATA,VSTR_COVER_CLASS,Crown and foliage cover class
LaboratoryMeasurement,SULFUR,10_BC,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)"
LaboratoryMeasurement,SULFUR,10A_NR,Total sulfur - S(%) - Not recorded
LaboratoryMeasurement,SULFUR,10A1,Total sulfur - S(%) - X-ray fluorescence
LaboratoryMeasurement,NA,10A3,C N S; Dumas
LaboratoryMeasurement,SULFUR,10B,Extractable sulfur (mg/kg) - Phosphate extractable sulfur
LaboratoryMeasurement,SULFUR,10B_NR,Extractable sulfur (mg/kg) - Not recorded
LaboratoryMeasurement,SULFUR,10B1,Calcium phosphate-extractable sulfur - manual distillation
LaboratoryMeasurement,SULFUR,10B2,Calcium phosphate-extractable sulfur - automated distillation
LaboratoryMeasurement,SULFUR,10B3,Calcium phosphate-extractable sulfur - ICPAES
LaboratoryMeasurement,SULFUR,10B4,Calcium phosphate-extractable sulfur - ion chromatography
LaboratoryMeasurement,SULFUR,10C1,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)"
LaboratoryMeasurement,SULFUR,10D1,Potassium chloride - 40 sulfur (KCl-40)-S
LaboratoryMeasurement,NA,10Z1,4M HCL extr. ICP finish
LaboratoryMeasurement,GYPSUM,11A1,Total gypsum
LaboratoryMeasurement,GYPSUM,11A2,Total gypsum - MIR reflectance spectroscopy
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HCL_CU,Total element - Cu(mg/kg) - Total acid(HCl)
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HCL_FE,Total element - Fe(%) - Total acid(HCl) extractable Fe
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HCL_FEO,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HCL_MN,Total element - Mn(mg/kg) - Total acid(HCl)
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HCL_ZN,Total element - Zn(mg/kg) - Total acid(HCl)
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HF_CU,Total element - Cu(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HF_FE,Total element - Fe(%) - HF/HClO4 Digest
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HF_MN,Total element - Mn(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HF_ZN,Total element - Zn(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,TOTAL_ELEMENTS,12_HF+_FEO,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3)
LaboratoryMeasurement,TOTAL_ELEMENTS,12_NR_CU,Total element - Cu(mg/kg) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,12_NR_FE,Total element - Fe(%) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,12_NR_MN,Total element - Mn(mg/kg) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,12_NR_ZN,Total element - Zn(mg/kg) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,12_XRF_CU,Total element - Cu(mg/kg) - X-Ray Fuoresence
LaboratoryMeasurement,TOTAL_ELEMENTS,12_XRF_FE,Total element - Fe(%) - X-Ray Fuoresence
LaboratoryMeasurement,TOTAL_ELEMENTS,12_XRF_FEO,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3)
LaboratoryMeasurement,TOTAL_ELEMENTS,12_XRF_MN,Total element - Mn(mg/kg) - X-Ray Fuoresence
LaboratoryMeasurement,TOTAL_ELEMENTS,12_XRF_ZN,Total element - Zn(mg/kg) - X-Ray Fuoresence
LaboratoryMeasurement,AL,12A1_AL,"DTPA - extractable copper, zinc, manganese,aluminium and iron"
LaboratoryMeasurement,CU,12A1_CU,"DTPA - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,FE,12A1_FE,"DTPA - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,MN,12A1_MN,"DTPA - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,ZN,12A1_ZN,"DTPA - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,CU,12B1_CU,Ammonium bicarbonate/EDTA - extractable copper
LaboratoryMeasurement,FE,12B1_FE,Ammonium bicarbonate/EDTA - extractable Iron
LaboratoryMeasurement,MN,12B1_MN,Ammonium bicarbonate/EDTA - extractable manganese
LaboratoryMeasurement,ZN,12B1_ZN,Ammonium bicarbonate/EDTA - extractable zinc
LaboratoryMeasurement,BORON,12C1,Calcium chloride extractable boron - manual colour
LaboratoryMeasurement,BORON,12C2,Calcium chloride extractable boron - ICPAES
LaboratoryMeasurement,NA,12C3,"Water extract, ICP"
LaboratoryMeasurement,CU,12D1_CU,"0.1 M HCl - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,FE,12D1_FE,"0.1 M HCl - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,MN,12D1_MN,"0.1 M HCl - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,ZN,12D1_ZN,"0.1 M HCl - extractable copper, zinc, manganese and iron"
LaboratoryMeasurement,MO,12E1,Calcium chloride - extractable Mo
LaboratoryMeasurement,TOTAL_ELEMENTS,13_C_FE,Extractable Fe(%) - Method recorded as C
LaboratoryMeasurement,TOTAL_ELEMENTS,13_NR_AL,Extractable Al(%) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,13_NR_FE,Extractable Fe(%) - Not recorded
LaboratoryMeasurement,TOTAL_ELEMENTS,13_NR_MN,Extractable Mn(%) - Not recorded
LaboratoryMeasurement,NA,13A1,Si
LaboratoryMeasurement,AL,13A1_AL,Oxalate-extractable aluminium
LaboratoryMeasurement,FE,13A1_FE,Oxalate-extractable iron
LaboratoryMeasurement,MN,13A1_MN,Oxalate-extractable manganese
LaboratoryMeasurement,SI,13A1_SI,Oxalate-extractable silicon
LaboratoryMeasurement,AL,13B1_AL,Pyrophosphate-extractable aluminium
LaboratoryMeasurement,FE,13B1_FE,Pyrophosphate-extractable iron
LaboratoryMeasurement,TOTAL_ELEMENTS,13C_C_FE,Extractable Fe (Free) % - Method recorded as C
LaboratoryMeasurement,AL,13C1_AL,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon"
LaboratoryMeasurement,FE,13C1_FE,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon"
LaboratoryMeasurement,TOTAL_ELEMENTS,13C1_FE203,Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3
LaboratoryMeasurement,MN,13C1_MN,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon"
LaboratoryMeasurement,SI,13C1_SI,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon"
LaboratoryMeasurement,SI,13D1,Acid-extractable soil silicon - automated colour
